Abhang::N
ron	61
oss	29
mns	12
ita	1
nld	18
mnc	62
ell	28
hrv	64
ady	52
hin	16
fin	38
eus	56
smj	1
dan	33
ces	26
dar	14
nor	33
pbu	63
cmn	25
hye	27
kpv	41
mhr	16
bak	7
tel	37
mdf	1
olo	1
arb	49
sel	13
ykg	21
abk	36
sms	39
pes	3
smn	39
ddo	60
kmr	9
sme	34
evn	23
sma	20
tur	14
rus	26
lez	38
ket	2
yux	65
ekk	41
vep	1
gld	16
gle	1
krl	54
isl	34
sjd	34
uzn	32
kat	58
por	9
pol	21
bre	51
koi	1
fra	61
yrk	18
che	28
swe	33
ukr	46
xal	32
heb	55
kor	12
chv	45
hun	48
bul	33
bua	6
cym	24
udm	50
azj	47
ben	16
bel	46
slv	21
deu	18
cat	9
ain	26
slk	21
tat	10
sah	38
jpn	6
myv	1
khk	2
lbe	26
spa	9
tam	27
ava	15
eng	44
lit	43
liv	40
nio	59
kan	53
kal	8
sqi	42
bsk	11
lat	31
kaz	14
lav	35
mal	27
ckt	5
mrj	1
