Ameise::N
ron	12
oss	23
mns	18
ita	12
nld	7
mnc	21
ell	7
hrv	9
ady	4
hin	5
fin	20
eus	15
kmr	11
kca	8
dan	7
ces	9
dar	14
nor	7
hye	7
pbu	7
cmn	7
evn	11
kpv	2
mhr	2
bak	10
tel	28
mdf	30
olo	1
arb	14
sel	2
ykg	2
abk	31
sms	2
pes	7
smn	2
ddo	29
smj	2
sme	2
sma	2
tur	17
rus	9
lez	23
yux	40
ekk	25
vep	20
gld	11
gle	8
krl	20
isl	7
sjd	2
uzn	28
bsk	42
por	12
pol	17
bre	7
koi	2
fra	12
yrk	32
che	22
swe	7
ukr	17
xal	6
heb	14
kor	41
chv	2
hun	37
bul	9
bua	6
cym	7
udm	1
azj	17
ben	25
bel	17
slv	9
deu	4
cat	12
ain	27
slk	9
tat	10
sah	19
jpn	3
myv	2
khk	6
lbe	35
spa	12
tam	33
ava	38
eng	13
lit	36
liv	11
kan	21
kal	24
sqi	39
kat	34
lat	12
kaz	17
lav	36
mal	33
ckt	16
mrj	2
