Arbeit::N
itl	29
ron	11
oss	13
mns	1
ita	2
nld	24
mnc	4
vep	44
hrv	44
ady	37
hin	35
fin	7
eus	30
kmr	1
ale	3
kca	24
dan	1
ces	1
dar	27
nor	1
pbu	25
cmn	41
hye	47
kpv	23
ykg	1
mhr	18
bak	18
tel	5
mdf	7
olo	1
arb	10
sel	27
ess	26
abk	34
sms	11
pes	25
smn	8
ddo	10
smj	8
sme	8
evn	3
sma	8
tur	42
rus	1
lez	16
ket	36
yux	12
ekk	7
ell	14
gld	32
gle	2
krl	7
isl	46
sjd	11
uzn	18
bsk	17
por	31
pol	1
bre	2
koi	23
fra	31
yrk	45
che	19
swe	1
ukr	1
xal	22
chv	33
kor	16
heb	1
hun	19
bul	1
bua	22
cym	3
udm	23
azj	18
ben	25
bel	1
slv	19
deu	1
cat	31
ain	21
slk	1
tat	18
sah	15
jpn	4
myv	7
khk	27
lbe	28
tam	13
spa	31
ava	10
enf	18
eng	24
lit	49
liv	7
nio	39
kan	16
kal	48
sqi	5
kat	18
lat	2
kaz	9
lav	17
niv	1
mal	10
ckt	50
mrj	18
