Ast::N
itl	31
ron	11
oss	17
mns	2
ita	8
nld	19
mnc	11
vep	7
hrv	11
ady	8
nor	11
fin	7
eus	6
smj	7
ale	18
kca	12
dan	11
ces	15
dar	35
hin	6
pbu	1
cmn	1
hye	24
kpv	12
ykg	21
mhr	7
bak	19
tel	4
mdf	10
olo	7
arb	17
sel	4
ess	20
abk	8
sms	7
pes	1
smn	7
ddo	11
kmr	29
sme	7
evn	11
sma	7
tur	6
rus	7
lez	26
ket	2
ekk	7
ell	9
gld	11
gle	21
krl	7
isl	11
sjd	7
uzn	5
kat	4
por	8
pol	23
bre	13
koi	12
fra	28
yrk	4
che	11
swe	11
ukr	22
xal	16
heb	11
kor	9
chv	26
hun	2
bul	3
bua	27
cym	11
udm	29
azj	5
ben	1
bel	7
slv	34
deu	36
cat	11
ain	19
slk	3
tat	19
sah	4
jpn	6
myv	10
khk	27
lbe	4
spa	8
tam	11
ava	25
enf	4
eng	30
lit	1
liv	7
nio	4
kan	1
kal	33
sqi	11
bsk	5
lat	8
kaz	19
lav	32
niv	18
mal	1
ckt	14
mrj	7
