Bein::N
itl	25
ron	17
oss	6
ale	1
ita	16
nld	18
mnc	10
vep	1
hrv	6
ady	2
nor	18
fin	1
eus	6
kmr	24
mns	11
kca	20
dan	18
ces	6
dar	22
hin	7
pbu	10
cmn	5
hye	23
evn	11
mhr	1
bak	9
tel	13
mdf	1
olo	1
arb	9
sel	5
ykg	12
abk	15
sms	3
pes	1
smn	1
ddo	12
smj	1
sme	1
sma	1
tur	9
kpv	4
rus	6
lez	12
ket	18
yux	1
ekk	1
ell	10
gld	10
gle	4
krl	1
isl	14
sjd	1
uzn	9
kat	10
por	27
pol	6
kaz	9
bre	20
koi	4
fra	21
yrk	8
che	4
swe	18
ukr	6
xal	13
chv	20
kor	5
heb	13
hun	21
bul	4
bua	11
cym	4
udm	10
azj	12
ben	10
bel	6
slv	6
deu	18
cat	16
ain	28
slk	6
tat	9
sah	7
jpn	15
myv	1
khk	11
lbe	24
spa	27
tam	13
ava	18
enf	8
eng	1
lit	9
liv	1
nio	8
kan	13
kal	19
sqi	16
bsk	26
lat	4
ess	10
lav	9
niv	8
mal	13
ckt	11
mrj	1
