Brot::N
itl	2
ron	7
oss	25
mns	4
ita	7
nld	1
mnc	12
ell	31
hrv	15
ady	8
hin	1
fin	5
eus	23
kmr	4
ale	2
kca	4
dan	16
ces	2
dar	6
nor	16
hye	6
pbu	19
cmn	24
evn	5
kpv	4
mhr	11
bak	10
tel	1
mdf	20
olo	5
arb	2
sel	4
ykg	2
abk	17
sms	5
pes	4
smn	5
ddo	30
smj	5
sme	5
sma	14
tur	10
rus	2
lez	12
ket	4
ekk	5
vep	5
gld	2
gle	16
krl	5
isl	16
sjd	5
uzn	4
kat	16
por	7
pol	2
kaz	20
bre	16
koi	4
fra	7
yrk	4
che	8
swe	16
ukr	2
xal	10
heb	29
kor	7
chv	13
hun	11
bul	2
bua	2
cym	16
udm	4
azj	27
ben	1
bel	2
slv	15
deu	1
cat	7
ain	7
slk	2
tat	10
sah	2
jpn	7
myv	20
khk	28
lbe	17
tam	1
spa	7
ava	17
enf	21
eng	16
lit	19
liv	5
nio	21
kan	1
kal	18
sqi	22
bsk	7
lat	7
ess	2
lav	26
niv	2
mal	1
ckt	32
mrj	13
