Bucht::N
ron	6
oss	21
ale	8
ita	2
nld	5
mnc	13
ell	2
hrv	6
ady	9
nor	1
fin	1
eus	2
kmr	39
mns	4
kca	4
dan	1
ces	17
dar	1
hin	16
pbu	16
cmn	9
hye	9
kpv	16
mhr	38
bak	1
tel	15
mdf	3
olo	1
arb	18
sel	2
abk	40
sms	1
pes	18
smn	26
smj	24
sme	1
evn	9
sma	1
tur	16
rus	1
lez	1
ekk	1
vep	1
gld	9
gle	9
krl	1
isl	7
sjd	9
uzn	20
por	5
pol	17
bre	42
koi	16
fra	5
yrk	19
che	31
swe	1
ukr	1
xal	10
chv	11
kor	30
heb	23
hun	5
bul	6
bua	43
cym	5
udm	7
azj	16
ben	24
bel	1
slv	6
deu	1
cat	5
ain	36
slk	6
tat	1
sah	2
jpn	19
myv	26
khk	28
tam	41
spa	2
ava	35
eng	22
lit	34
liv	2
nio	1
kan	16
kal	10
sqi	32
kat	16
lat	14
kaz	37
lav	25
niv	12
mal	2
ckt	16
mrj	33
