Busen::N
ron	15
oss	14
mns	24
ita	15
nld	4
mnc	18
ell	15
hrv	15
ady	16
nor	8
fin	12
eus	29
kmr	15
ale	26
kca	15
dan	8
ces	23
dar	1
hin	11
pbu	14
cmn	30
hye	14
evn	18
mhr	17
bak	3
tel	11
mdf	6
olo	19
arb	32
sel	1
ykg	2
abk	10
sms	23
pes	11
smn	23
ddo	3
smj	22
sme	17
sma	6
tur	18
kpv	7
rus	41
lez	1
ket	1
yux	2
ekk	12
vep	23
gle	20
krl	12
isl	8
sjd	12
uzn	28
kat	14
por	30
pol	6
bre	16
koi	7
fra	2
yrk	1
che	25
swe	8
ukr	5
xal	3
chv	3
kor	9
heb	33
hun	24
bul	4
bua	2
cym	16
udm	19
azj	1
ben	11
bel	5
slv	23
deu	4
cat	1
ain	34
slk	15
tat	27
sah	1
jpn	2
myv	6
khk	20
lbe	3
spa	11
tam	37
ava	39
enf	40
eng	4
lit	5
liv	12
nio	1
kan	11
kal	36
sqi	17
bsk	29
lat	15
kaz	35
lav	5
mal	11
ckt	38
mrj	14
