Butter::N
itl	8
ron	15
oss	13
ale	8
ita	6
nld	6
mnc	20
vep	1
hrv	6
ady	29
hin	21
fin	1
eus	15
smj	1
mns	1
kca	1
dan	3
ces	8
dar	16
nor	3
pbu	24
cmn	27
hye	7
evn	20
ykg	13
mhr	1
bak	23
tel	4
mdf	1
olo	1
arb	31
sel	1
ess	17
abk	1
sms	1
pes	7
smn	1
ddo	26
kmr	15
sme	1
sma	1
tur	7
kpv	1
rus	8
lez	30
ket	32
ekk	1
ell	6
gld	20
gle	1
krl	1
isl	3
sjd	1
uzn	11
kat	7
por	14
pol	8
bre	21
koi	1
fra	6
yrk	11
che	13
swe	3
ukr	8
xal	5
chv	25
kor	6
heb	28
hun	1
bul	8
bua	2
cym	21
udm	1
azj	7
ben	21
bel	8
slv	8
deu	6
cat	14
slk	8
tat	23
sah	15
jpn	6
myv	1
khk	5
lbe	13
spa	14
tam	1
ava	13
enf	10
eng	6
lit	12
liv	1
nio	18
kan	4
kal	22
sqi	19
bsk	8
lat	6
kaz	23
lav	12
niv	5
mal	4
ckt	17
mrj	1
