Dach::N
itl	1
ron	5
oss	27
ale	18
ita	8
nld	1
mnc	28
ell	12
hrv	3
ady	25
hin	33
fin	18
eus	8
smj	8
mns	37
kca	36
dan	1
ces	2
dar	21
nor	1
pbu	1
cmn	39
hye	18
kpv	23
mhr	11
bak	21
tel	32
mdf	3
olo	11
arb	24
sel	19
ykg	29
abk	16
sms	38
pes	1
smn	18
ddo	22
kmr	26
sme	18
evn	9
sma	30
tur	14
rus	3
lez	21
ket	13
ekk	18
vep	18
gld	6
gle	1
krl	18
isl	1
sjd	34
uzn	1
kat	31
por	22
pol	1
kaz	24
bre	1
koi	3
fra	15
yrk	10
che	8
swe	1
ukr	1
xal	15
chv	19
kor	42
heb	20
hun	8
bul	17
bua	13
cym	1
udm	4
azj	1
ben	14
bel	1
slv	2
deu	1
cat	22
ain	41
slk	2
tat	15
sah	3
jpn	40
myv	3
khk	15
lbe	16
tam	3
spa	8
ava	1
enf	18
eng	17
lit	2
liv	18
nio	3
kan	7
kal	21
sqi	14
bsk	12
lat	8
ess	21
lav	35
niv	11
mal	3
ckt	43
mrj	11
