Donner::N
itl	1
ron	6
oss	51
ale	18
ita	6
nld	6
mnc	38
vep	37
hrv	1
ady	25
nor	6
fin	2
eus	36
kmr	9
mns	45
kca	20
dan	6
ces	1
dar	33
hin	9
pbu	6
cmn	11
hye	6
kpv	1
ykg	8
mhr	3
bak	14
tel	2
mdf	4
olo	2
arb	12
sel	27
ess	31
abk	15
sms	10
pes	12
smn	2
ddo	2
smj	15
sme	38
evn	15
sma	2
tur	14
rus	1
lez	50
ket	16
yux	43
ekk	49
ell	6
gld	15
gle	6
krl	2
isl	1
sjd	39
uzn	3
kat	45
por	29
pol	24
bre	6
koi	1
fra	6
yrk	54
che	5
swe	6
ukr	1
xal	13
heb	4
kor	48
chv	46
hun	8
bul	1
bua	44
cym	29
udm	3
azj	52
ben	53
bel	1
slv	1
deu	6
cat	42
ain	22
slk	1
tat	9
sah	15
jpn	8
myv	2
khk	26
lbe	33
tam	15
spa	42
ava	19
enf	22
eng	6
lit	21
liv	53
nio	3
kan	3
kal	41
sqi	40
bsk	1
lat	6
kaz	14
lav	21
niv	11
mal	15
ckt	17
mrj	3
