Dorf::N
itl	16
ron	1
oss	31
mns	4
ita	42
nld	38
mnc	5
ell	41
hrv	9
ady	31
hin	39
fin	8
eus	35
smj	36
ale	17
kca	32
dan	33
ces	47
dar	3
nor	33
pbu	8
cmn	40
hye	24
kpv	3
ykg	23
mhr	11
bak	12
tel	13
mdf	4
olo	35
arb	31
sel	1
ess	22
abk	7
sms	1
pes	15
smn	1
ddo	8
kmr	21
sme	8
evn	14
sma	1
tur	28
rus	23
lez	46
ket	2
ekk	8
vep	8
gld	7
gle	20
krl	8
isl	38
sjd	1
uzn	12
kat	26
por	27
pol	4
bre	31
koi	23
fra	4
yrk	19
che	32
swe	45
ukr	9
xal	7
chv	11
kor	9
heb	28
hun	44
bul	9
bua	23
cym	29
udm	32
azj	21
ben	13
bel	30
slv	30
deu	38
cat	4
ain	7
slk	23
tat	12
sah	23
jpn	43
myv	4
khk	31
lbe	20
tam	13
spa	4
ava	15
enf	15
eng	4
lit	25
liv	8
nio	34
kan	35
kal	22
sqi	1
bsk	35
lat	30
kaz	12
lav	37
niv	30
mal	13
ckt	6
mrj	9
