Ecke::N
itl	5
ron	1
oss	30
ale	11
ita	1
nld	24
mnc	33
vep	13
hrv	5
ady	11
hin	7
fin	7
eus	1
smj	7
mns	13
kca	35
dan	25
ces	16
dar	39
nor	25
pbu	37
cmn	17
hye	5
kpv	14
ykg	18
mhr	24
bak	38
tel	22
mdf	15
olo	33
arb	24
sel	35
ess	11
abk	28
sms	32
pes	6
smn	17
ddo	17
kmr	8
sme	7
evn	1
sma	1
tur	6
rus	5
lez	34
ket	11
yux	18
ekk	7
ell	1
gld	1
gle	1
krl	7
isl	20
sjd	5
uzn	21
kat	23
por	1
pol	24
bre	1
koi	14
fra	37
yrk	3
che	13
swe	20
ukr	12
xal	10
chv	23
kor	28
heb	36
hun	24
bul	5
bua	5
cym	1
udm	9
azj	21
ben	1
bel	5
slv	5
deu	28
cat	1
ain	4
slk	16
tat	21
sah	7
jpn	1
myv	15
khk	10
lbe	7
tam	22
spa	1
ava	26
enf	3
eng	1
lit	23
liv	7
nio	13
kan	22
kal	11
sqi	6
bsk	1
lat	5
kaz	11
lav	23
niv	2
mal	22
ckt	1
mrj	24
