Eisen::N
ron	9
oss	18
mns	4
ita	9
nld	2
mnc	1
vep	6
hrv	7
ady	22
nor	2
fin	6
eus	17
smj	6
ale	31
kca	4
dan	2
ces	7
dar	26
hin	14
pbu	18
cmn	2
hye	2
evn	1
mhr	4
bak	3
tel	8
mdf	21
olo	6
arb	6
sel	20
ykg	10
abk	19
sms	6
pes	14
smn	6
ddo	4
kmr	18
sme	6
sma	6
tur	3
kpv	4
rus	7
lez	30
ket	2
yux	6
ekk	6
ell	2
gld	1
gle	2
krl	6
isl	2
sjd	6
uzn	3
bsk	3
por	9
pol	7
bre	2
koi	4
fra	9
yrk	2
che	28
swe	2
ukr	7
xal	3
heb	11
kor	27
chv	3
hun	13
bul	7
bua	3
cym	2
udm	4
azj	3
ben	14
bel	7
slv	7
deu	2
cat	9
ain	4
slk	7
tat	3
sah	3
jpn	32
myv	21
khk	3
lbe	3
tam	8
spa	2
ava	3
enf	23
eng	2
lit	15
liv	6
nio	23
kan	17
kal	29
sqi	2
kat	17
lat	9
kaz	3
lav	16
niv	5
mal	8
ckt	25
mrj	4
