Entfernung::N
ron	26
oss	44
ale	14
ita	26
nld	27
mnc	21
vep	32
hrv	16
ady	1
hin	30
fin	22
eus	12
kmr	30
mns	15
kca	5
dan	27
ces	16
dar	18
nor	27
pbu	26
cmn	38
hye	45
kpv	24
mhr	30
bak	2
tel	30
mdf	21
olo	31
arb	13
sel	25
ess	20
abk	51
sms	6
pes	9
smn	6
ddo	18
smj	48
sme	6
evn	37
sma	42
tur	9
rus	33
lez	18
yux	1
ekk	50
ell	19
gle	52
krl	38
isl	36
sjd	6
uzn	28
por	26
pol	16
bre	5
koi	24
fra	26
yrk	34
swe	27
ukr	26
xal	49
heb	32
kor	7
chv	35
hun	31
bul	33
bua	30
cym	15
udm	6
azj	28
ben	27
bel	16
slv	16
deu	40
cat	26
slk	16
tat	2
sah	30
jpn	7
myv	21
khk	47
lbe	18
spa	26
tam	30
ava	18
enf	52
eng	26
lit	17
liv	5
nio	29
kan	30
kal	11
sqi	39
kat	8
lat	46
kaz	2
lav	17
mal	17
ckt	30
mrj	4
