Fehler::N
itl	4
ron	29
oss	2
ale	12
ita	29
nld	5
mnc	22
ell	43
hrv	24
ady	44
nor	5
fin	15
eus	27
smj	15
mns	36
kca	39
dan	5
ces	3
dar	9
hin	17
pbu	8
cmn	25
hye	8
kpv	40
mhr	6
bak	9
tel	13
mdf	23
olo	7
arb	9
sel	11
ykg	38
abk	41
sms	15
pes	11
smn	5
ddo	8
kmr	37
sme	15
evn	1
sma	5
tur	9
rus	11
lez	8
ekk	15
vep	15
gld	20
gle	42
krl	7
isl	15
sjd	19
uzn	9
kat	31
por	29
pol	42
kaz	23
bre	5
koi	11
fra	5
yrk	11
che	8
swe	5
ukr	16
xal	9
heb	9
kor	29
chv	6
hun	3
bul	24
bua	20
cym	8
udm	6
azj	9
ben	17
bel	16
slv	21
deu	5
cat	5
ain	7
slk	16
tat	9
sah	34
jpn	33
myv	23
khk	20
lbe	8
tam	25
spa	29
ava	8
enf	11
eng	35
lit	8
liv	15
nio	33
kan	13
kal	45
sqi	46
bsk	8
lat	29
ess	26
lav	8
mal	11
ckt	18
mrj	5
