Fell::N
itl	39
ron	5
oss	6
ale	8
ita	40
nld	5
mnc	16
ell	6
hrv	1
ady	3
nor	3
fin	25
eus	4
smj	25
mns	7
kca	7
dan	3
ces	30
dar	5
hin	5
pbu	7
cmn	28
hye	6
kpv	19
ykg	38
mhr	14
bak	2
tel	25
mdf	4
olo	4
arb	16
sel	7
ess	18
abk	24
sms	24
pes	11
smn	25
ddo	37
kmr	22
sme	24
evn	10
sma	13
tur	7
rus	4
lez	17
ket	12
yux	5
ekk	10
vep	10
gld	12
gle	19
krl	10
isl	3
sjd	25
uzn	40
kat	33
por	5
pol	16
bre	4
koi	19
fra	7
yrk	1
che	24
swe	3
ukr	16
xal	23
chv	3
kor	36
heb	20
hun	32
bul	1
bua	34
cym	16
udm	19
azj	11
ben	17
bel	4
slv	4
deu	9
cat	5
ain	23
slk	1
tat	2
sah	2
jpn	31
myv	7
khk	23
lbe	21
spa	5
tam	27
ava	24
enf	1
eng	9
lit	5
liv	4
nio	19
kan	17
kal	18
sqi	4
bsk	7
lat	5
kaz	2
lav	26
niv	8
mal	17
ckt	35
mrj	14
