Ferse::N
itl	23
ron	15
oss	36
ale	15
ita	25
nld	8
mnc	3
vep	3
hrv	2
ady	7
hin	30
fin	3
eus	32
kmr	41
mns	16
kca	14
dan	8
ces	2
dar	31
nor	8
pbu	2
cmn	20
hye	44
kpv	17
ykg	26
mhr	11
bak	28
tel	39
mdf	17
olo	3
arb	45
sel	42
ess	5
abk	38
sms	35
pes	41
smn	6
ddo	12
smj	19
sme	6
evn	46
sma	2
tur	4
rus	2
lez	11
yux	26
ekk	3
ell	24
gld	16
gle	22
krl	3
isl	8
sjd	3
uzn	11
kat	1
por	15
pol	2
bre	22
koi	17
fra	25
yrk	37
che	17
swe	8
ukr	2
xal	19
chv	1
kor	29
heb	16
hun	32
bul	2
bua	8
cym	22
udm	34
azj	11
ben	21
bel	2
slv	2
deu	24
cat	25
ain	13
slk	2
tat	16
sah	25
jpn	15
myv	17
khk	19
lbe	43
spa	25
tam	10
ava	30
enf	18
eng	8
lit	3
liv	3
nio	2
kan	8
kal	27
sqi	9
bsk	3
lat	15
kaz	28
lav	47
niv	16
mal	2
ckt	15
mrj	33
