Frau::N
itl	33
ron	22
oss	30
mns	2
ita	2
nld	19
mnc	50
vep	6
hrv	11
ady	47
hin	40
fin	6
eus	6
smj	3
ale	25
kca	32
dan	14
ces	11
dar	15
nor	14
pbu	8
cmn	43
hye	14
kpv	23
mhr	10
bak	5
tel	21
mdf	45
olo	12
arb	24
sel	32
ykg	1
abk	31
sms	3
pes	11
smn	3
ddo	19
kmr	11
sme	3
evn	29
sma	6
tur	1
rus	11
lez	53
ket	32
yux	1
ekk	6
ell	11
gld	12
gle	16
krl	6
isl	14
sjd	3
uzn	37
kat	38
por	4
pol	49
kaz	5
bre	17
koi	11
fra	22
yrk	2
che	21
swe	14
ukr	11
xal	14
chv	42
kor	35
heb	54
hun	2
bul	11
bua	28
cym	19
udm	44
azj	5
ben	6
bel	11
slv	41
deu	19
cat	2
ain	34
slk	11
tat	5
sah	52
jpn	29
myv	45
khk	55
lbe	29
tam	16
spa	4
ava	5
enf	2
eng	48
lit	17
liv	6
nio	2
kan	11
kal	28
sqi	22
bsk	41
lat	4
ess	28
lav	13
niv	51
mal	7
ckt	18
mrj	10
