Frost::N
ron	23
oss	3
ale	41
ita	23
nld	29
mnc	56
vep	24
hrv	8
nor	13
fin	24
eus	39
smj	31
mns	23
kca	15
dan	13
ces	8
dar	32
hin	27
pbu	2
cmn	49
hye	47
kpv	4
ykg	54
mhr	52
bak	11
tel	35
mdf	48
olo	24
arb	1
sel	14
ess	24
abk	6
sms	42
pes	43
smn	42
ddo	28
kmr	15
sme	42
evn	3
sma	30
tur	27
rus	8
lez	20
ket	25
ekk	24
ell	24
gld	45
gle	15
krl	24
isl	13
sjd	36
uzn	20
kat	14
por	23
pol	8
bre	7
koi	8
fra	23
yrk	6
che	23
swe	13
ukr	8
xal	33
heb	14
kor	24
chv	55
hun	28
bul	8
bua	33
cym	50
udm	4
azj	20
ben	34
bel	8
slv	8
deu	13
cat	17
ain	9
slk	8
tat	1
sah	53
jpn	23
myv	48
khk	33
lbe	40
spa	16
tam	10
ava	38
enf	21
eng	13
lit	23
liv	37
nio	46
kan	22
kal	15
sqi	4
bsk	12
lat	23
kaz	1
lav	51
niv	19
mal	5
ckt	44
mrj	18
