Fuchs::N
itl	28
ron	20
oss	5
mns	19
ita	20
nld	5
mnc	13
vep	5
hrv	1
ady	46
hin	27
fin	18
eus	30
smj	5
ale	45
kca	19
dan	5
ces	1
dar	40
nor	5
pbu	3
cmn	3
hye	5
kpv	29
ykg	41
mhr	5
bak	3
tel	46
mdf	3
olo	5
arb	21
sel	36
ess	23
abk	32
sms	8
pes	5
smn	8
ddo	34
kmr	5
sme	5
evn	3
sma	5
tur	3
rus	1
lez	4
ket	11
yux	16
ekk	5
ell	31
gld	3
gle	26
krl	5
isl	5
sjd	8
uzn	3
kat	2
por	5
pol	1
bre	39
koi	29
fra	25
yrk	13
che	37
swe	5
ukr	1
xal	44
heb	16
kor	15
chv	3
hun	5
bul	1
bua	26
cym	18
udm	43
azj	3
ben	35
bel	1
slv	1
deu	33
cat	3
ain	14
slk	1
tat	3
sah	7
jpn	18
myv	5
khk	26
lbe	10
spa	17
tam	24
ava	38
enf	13
eng	33
lit	20
liv	5
nio	13
kan	24
kal	12
sqi	6
bsk	42
lat	20
kaz	3
lav	1
niv	18
mal	11
ckt	22
mrj	5
