Gelächter::N
itl	37
ron	30
oss	22
mns	34
ita	30
nld	9
vep	1
hrv	43
ady	17
nor	4
fin	1
eus	13
kmr	46
ale	35
kca	1
dan	4
ces	8
dar	9
hin	3
pbu	17
cmn	15
hye	16
evn	11
ykg	41
mhr	12
bak	9
tel	1
mdf	39
olo	1
arb	3
sel	23
ess	33
abk	5
sms	8
pes	3
smn	40
ddo	14
smj	7
sme	36
sma	3
tur	3
kpv	31
rus	8
lez	38
ket	26
ekk	1
ell	31
gld	24
gle	1
krl	1
isl	4
sjd	15
uzn	25
bsk	9
por	13
pol	8
bre	21
koi	31
fra	20
yrk	23
che	31
swe	6
ukr	8
xal	24
chv	25
kor	32
heb	47
hun	44
bul	8
bua	24
cym	48
udm	1
azj	9
ben	28
bel	8
slv	43
deu	9
cat	30
slk	8
tat	9
sah	9
jpn	27
myv	42
khk	24
lbe	14
tam	45
spa	30
ava	30
enf	23
eng	4
lit	19
liv	1
nio	17
kan	1
kal	26
sqi	15
kat	9
lat	30
kaz	25
lav	8
mal	2
ckt	29
mrj	12
