Gewicht::N
ron	51
oss	3
mns	7
ita	15
nld	7
mnc	5
ell	34
hrv	6
ady	16
hin	3
fin	29
eus	41
smj	9
ale	38
kca	14
dan	7
ces	8
dar	18
nor	7
hye	28
pbu	3
cmn	45
kpv	19
evn	32
mhr	25
bak	15
tel	31
mdf	1
olo	29
arb	3
sel	19
ess	43
abk	49
sms	9
pes	3
smn	9
ddo	18
kmr	12
sme	9
sma	53
tur	24
rus	22
lez	30
ekk	39
vep	44
gld	12
gle	46
krl	29
isl	21
sjd	48
uzn	1
kat	10
por	15
pol	6
bre	15
koi	19
fra	36
yrk	17
che	54
swe	21
ukr	8
xal	2
chv	22
kor	27
heb	26
hun	37
bul	6
bua	42
cym	15
udm	19
azj	24
ben	40
bel	8
slv	6
deu	22
cat	15
slk	8
tat	24
sah	50
jpn	35
myv	1
khk	2
lbe	28
tam	52
spa	15
ava	18
enf	15
eng	7
lit	34
liv	19
nio	17
kan	27
kal	47
sqi	15
bsk	3
lat	15
kaz	1
lav	34
niv	21
mal	13
ckt	20
mrj	25
