Glas::N
itl	3
ron	3
oss	21
ale	3
ita	15
nld	4
mnc	19
ell	10
hrv	3
ady	14
nor	4
fin	4
eus	15
kmr	16
mns	23
kca	9
dan	4
ces	3
dar	10
hin	14
pbu	10
cmn	19
hye	2
evn	3
ykg	3
mhr	26
bak	19
tel	8
mdf	4
olo	3
arb	28
sel	3
ess	12
abk	30
sms	3
pes	10
smn	4
ddo	6
smj	4
sme	4
sma	4
tur	31
kpv	3
rus	3
lez	10
ket	3
ekk	4
vep	3
gld	3
gle	4
krl	4
isl	4
sjd	3
uzn	26
bsk	10
por	15
pol	3
bre	1
koi	3
fra	1
yrk	3
che	17
swe	4
ukr	3
xal	10
heb	7
kor	25
chv	4
hun	21
bul	3
bua	10
cym	20
udm	19
azj	10
ben	14
bel	3
slv	3
deu	4
cat	15
ain	15
slk	3
tat	19
sah	3
jpn	4
myv	10
khk	10
lbe	25
tam	11
spa	15
ava	29
enf	3
eng	4
lit	3
liv	4
nio	3
kan	8
kal	32
sqi	18
kat	13
lat	15
kaz	27
lav	3
niv	3
mal	4
ckt	12
mrj	24
