Gras::N
itl	36
ron	6
oss	11
mns	3
ita	6
nld	4
mnc	15
vep	9
hrv	5
ady	18
ess	31
hin	4
fin	17
eus	27
kmr	34
ale	14
kca	19
dan	4
ces	5
dar	14
nor	4
hye	7
pbu	2
cmn	25
kpv	19
evn	32
mhr	8
bak	12
tel	23
mdf	2
olo	9
arb	4
sel	1
ykg	22
abk	28
sms	4
pes	12
smn	4
ddo	27
smj	4
sme	4
sma	4
tur	36
rus	5
lez	14
ket	10
yux	22
ekk	17
ell	15
gld	1
gle	20
krl	9
isl	4
sjd	4
uzn	21
bsk	14
por	5
pol	5
bre	35
koi	19
fra	6
yrk	2
che	18
swe	4
ukr	5
xal	24
chv	11
kor	3
heb	2
hun	20
bul	5
bua	24
cym	33
udm	19
azj	7
ben	4
bel	5
slv	5
deu	4
cat	6
ain	13
slk	5
tat	12
sah	7
jpn	26
myv	2
khk	24
lbe	19
spa	6
tam	3
ava	6
enf	16
eng	4
lit	12
liv	9
nio	1
kan	3
kal	31
sqi	27
kat	22
lat	6
kaz	7
lav	12
niv	16
mal	3
ckt	29
mrj	8
