Grenze::N
itl	1
ron	1
oss	15
mns	1
ita	31
nld	1
mnc	3
vep	1
hrv	1
ady	12
hin	2
fin	5
eus	6
kmr	27
ale	9
kca	1
dan	1
ces	1
dar	4
nor	1
hye	2
pbu	2
cmn	34
evn	6
kpv	26
mhr	1
bak	39
tel	2
mdf	29
olo	5
arb	10
sel	1
ess	33
abk	15
sms	5
pes	6
smn	5
ddo	20
smj	5
sme	5
sma	5
tur	26
rus	1
lez	2
yux	37
ekk	21
ell	26
gle	15
krl	5
isl	13
sjd	1
uzn	25
kat	22
por	16
pol	1
bre	4
koi	1
fra	16
yrk	1
che	4
swe	1
ukr	15
xal	6
heb	8
kor	17
chv	25
hun	10
bul	1
bua	8
cym	31
udm	17
azj	2
ben	40
bel	1
slv	6
deu	1
cat	16
ain	14
slk	1
tat	25
sah	1
jpn	17
myv	18
khk	8
lbe	4
tam	11
spa	16
ava	20
eng	32
lit	7
liv	7
nio	36
kan	24
kal	8
sqi	31
bsk	28
lat	38
kaz	39
lav	7
mal	35
ckt	1
mrj	2
