Großvater::N
itl	32
ron	16
oss	37
ale	23
ita	14
nld	6
mnc	18
vep	4
hrv	4
ady	2
hin	4
fin	45
eus	7
kmr	1
mns	30
kca	30
dan	15
ces	4
dar	40
nor	15
pbu	1
cmn	31
hye	1
kpv	26
ykg	7
mhr	2
bak	34
tel	2
mdf	2
olo	4
arb	4
sel	42
ess	43
abk	1
sms	27
pes	39
smn	20
ddo	38
smj	4
sme	2
evn	4
sma	7
tur	4
rus	4
lez	41
ket	35
yux	8
ekk	10
ell	1
gld	4
gle	44
krl	17
isl	24
sjd	7
uzn	1
kat	1
por	24
pol	4
bre	4
koi	4
fra	9
yrk	22
che	14
swe	18
ukr	4
xal	36
heb	1
kor	11
chv	27
hun	14
bul	4
bua	2
cym	4
udm	34
azj	1
ben	33
bel	4
slv	4
deu	6
cat	1
ain	27
slk	4
tat	1
sah	19
jpn	31
myv	21
khk	25
lbe	2
spa	24
tam	2
ava	4
enf	4
eng	6
lit	12
liv	10
nio	22
kan	7
kal	2
sqi	4
bsk	1
lat	24
kaz	2
lav	3
niv	4
mal	1
ckt	32
mrj	2
