Haken::N
ron	2
oss	19
mns	1
ita	14
nld	1
mnc	18
vep	2
hrv	2
ady	11
hin	21
fin	1
eus	2
smj	29
ale	7
kca	20
dan	2
ces	1
nor	2
pbu	1
cmn	2
hye	15
evn	2
mhr	17
bak	1
tel	2
mdf	3
olo	30
arb	33
sel	35
ykg	25
abk	32
sms	3
pes	31
smn	2
ddo	3
kmr	6
sme	2
sma	29
tur	6
kpv	2
rus	2
lez	7
ket	2
yux	2
ekk	1
ell	14
gld	18
gle	2
krl	2
isl	2
sjd	2
uzn	1
kat	3
por	14
pol	1
bre	2
koi	34
fra	2
yrk	16
che	36
swe	2
ukr	2
xal	12
chv	17
kor	2
heb	9
hun	2
bul	2
bua	12
cym	38
udm	2
azj	6
ben	3
bel	2
slv	2
deu	1
cat	14
ain	35
slk	1
tat	1
sah	18
jpn	1
myv	3
khk	18
lbe	3
tam	2
spa	15
ava	4
enf	37
eng	1
lit	12
liv	2
nio	22
kan	21
kal	20
sqi	24
bsk	17
lat	8
kaz	1
lav	24
mal	2
ckt	10
mrj	2
