Haus::N
itl	13
ron	13
oss	4
mns	2
ita	13
nld	22
mnc	37
ell	32
hrv	14
ady	21
hin	2
fin	7
eus	15
smj	14
ale	9
kca	5
dan	22
ces	1
dar	7
nor	22
pbu	2
cmn	20
hye	34
evn	16
ykg	26
mhr	10
bak	8
tel	17
mdf	14
olo	7
arb	27
sel	23
ess	36
abk	29
sms	7
pes	21
smn	7
ddo	5
kmr	29
sme	3
sma	3
tur	35
kpv	2
rus	1
lez	9
ket	33
yux	26
ekk	29
vep	10
gld	1
gle	39
krl	7
isl	22
sjd	10
uzn	18
kat	6
por	13
pol	1
bre	28
koi	2
fra	21
yrk	2
che	28
swe	22
ukr	1
xal	2
chv	8
kor	15
heb	27
hun	22
bul	13
bua	2
cym	28
udm	8
azj	35
ben	2
bel	1
slv	33
deu	22
cat	13
ain	38
slk	1
tat	8
sah	15
jpn	15
myv	14
khk	27
lbe	11
tam	12
spa	13
ava	31
enf	13
eng	22
lit	26
liv	14
nio	2
kan	21
kal	17
sqi	3
bsk	22
lat	25
kaz	18
lav	29
niv	28
mal	12
ckt	30
mrj	10
