Haut::N
itl	10
ron	4
oss	11
ale	7
ita	4
nld	14
mnc	1
vep	1
hrv	9
ady	11
hin	33
fin	14
eus	31
smj	3
mns	21
kca	36
dan	14
ces	13
dar	10
nor	8
hye	3
pbu	29
cmn	8
evn	18
kpv	10
mhr	26
bak	6
tel	11
mdf	18
olo	38
arb	12
sel	37
ykg	2
abk	20
sms	3
pes	9
smn	3
kmr	11
sme	3
sma	35
tur	34
rus	13
lez	28
yux	7
ekk	1
ell	4
gld	25
gle	32
krl	1
isl	8
sjd	3
uzn	6
kat	5
por	4
pol	12
bre	19
koi	10
fra	9
yrk	27
che	11
swe	14
ukr	12
xal	23
chv	6
kor	15
heb	30
hun	39
bul	13
bua	2
cym	19
udm	10
azj	6
ben	3
bel	12
slv	13
deu	14
cat	4
ain	16
slk	13
tat	6
sah	6
jpn	8
myv	18
khk	23
lbe	24
tam	11
spa	4
ava	11
enf	22
eng	8
lit	17
liv	1
nio	10
kan	11
kal	3
sqi	12
bsk	9
lat	10
kaz	6
lav	17
niv	14
mal	11
ckt	19
mrj	26
