Hemd::N
itl	6
ron	3
oss	9
ale	10
ita	3
nld	17
mnc	32
vep	20
hrv	7
ady	26
hin	1
fin	20
eus	19
smj	1
mns	27
kca	24
dan	1
ces	7
dar	41
nor	1
hye	37
pbu	3
cmn	16
evn	6
kpv	15
ykg	6
mhr	4
bak	8
tel	29
mdf	35
olo	20
arb	3
sel	33
ess	8
abk	3
sms	20
pes	21
smn	20
ddo	13
kmr	23
sme	20
sma	1
tur	8
rus	6
lez	15
ket	1
ekk	18
ell	3
gld	5
gle	39
krl	20
isl	1
sjd	20
uzn	8
por	3
pol	7
bre	1
koi	24
fra	3
yrk	38
che	3
swe	1
ukr	18
xal	8
chv	30
kor	1
heb	42
hun	31
bul	3
bua	3
cym	3
udm	15
azj	8
ben	1
bel	7
slv	1
deu	17
cat	3
slk	7
tat	8
sah	6
jpn	1
myv	35
khk	40
lbe	14
tam	11
spa	3
ava	1
enf	25
eng	1
lit	2
liv	18
nio	6
kan	5
kal	6
sqi	3
kat	21
lat	34
kaz	28
lav	3
niv	12
mal	1
ckt	36
mrj	4
