Herbst::N
ron	32
oss	42
ale	5
ita	32
nld	8
mnc	31
ell	21
hrv	13
ady	47
hin	50
fin	2
eus	30
kmr	43
mns	2
kca	2
dan	28
ces	51
dar	11
nor	8
pbu	46
cmn	25
hye	13
evn	31
mhr	1
bak	24
tel	14
mdf	2
olo	2
arb	22
sel	7
ykg	29
abk	41
sms	16
pes	43
smn	16
ddo	11
smj	16
sme	16
sma	16
tur	44
kpv	7
rus	13
lez	2
ket	10
yux	9
ekk	2
vep	2
gld	31
gle	53
krl	2
isl	8
sjd	16
uzn	24
bsk	52
por	32
pol	13
kaz	24
bre	40
koi	7
fra	32
yrk	23
che	22
swe	8
ukr	13
xal	20
heb	12
kor	27
chv	22
hun	8
bul	13
bua	20
cym	26
udm	2
azj	43
ben	14
bel	13
slv	13
deu	8
cat	36
ain	37
slk	13
tat	24
sah	6
jpn	39
myv	2
khk	20
lbe	2
tam	17
spa	32
ava	48
enf	34
eng	51
lit	18
liv	2
nio	49
kan	14
kal	38
sqi	13
kat	35
lat	32
ess	38
lav	18
niv	33
mal	14
ckt	19
mrj	1
