Herde::N
itl	6
ron	30
oss	7
mns	21
ita	23
nld	1
mnc	29
vep	20
hrv	5
ady	7
hin	9
fin	16
eus	30
smj	46
ale	17
kca	32
dan	14
ces	5
dar	24
nor	14
hye	13
pbu	17
cmn	33
evn	27
kpv	9
mhr	18
bak	1
tel	15
mdf	5
olo	20
arb	1
sel	36
ykg	16
abk	22
sms	31
pes	17
smn	3
ddo	11
kmr	13
sme	12
sma	12
tur	10
rus	5
lez	10
ket	34
yux	7
ekk	20
ell	4
gld	28
gle	5
krl	20
isl	46
sjd	3
uzn	9
kat	5
por	8
pol	5
kaz	5
bre	26
koi	22
fra	26
yrk	15
che	39
swe	14
ukr	5
xal	45
heb	1
kor	1
chv	1
hun	41
bul	5
bua	30
cym	5
udm	9
azj	10
ben	44
bel	5
slv	30
deu	30
cat	17
ain	26
slk	5
tat	1
sah	38
jpn	10
myv	5
khk	10
lbe	35
tam	1
spa	8
ava	11
enf	5
eng	14
lit	5
liv	20
nio	16
kan	37
kal	37
sqi	23
bsk	17
lat	42
ess	6
lav	25
niv	1
mal	1
ckt	6
mrj	1
