Hitze::N
itl	3
ron	15
oss	21
ale	36
ita	15
nld	1
mnc	24
ell	4
hrv	41
ady	45
ess	43
hin	12
fin	7
eus	26
smj	18
mns	37
kca	48
dan	1
ces	29
dar	22
nor	1
hye	33
pbu	31
cmn	40
evn	3
kpv	32
mhr	33
bak	28
tel	16
mdf	19
olo	37
arb	5
sel	1
ykg	10
abk	15
sms	6
pes	12
smn	18
ddo	5
kmr	12
sme	18
sma	18
tur	25
rus	14
lez	1
ket	11
ekk	47
vep	37
gld	18
gle	39
krl	44
isl	1
sjd	14
uzn	17
kat	1
por	34
pol	7
bre	28
koi	32
fra	42
yrk	2
che	23
swe	1
ukr	14
xal	24
heb	8
kor	31
chv	42
hun	1
bul	7
bua	24
cym	35
udm	6
azj	20
ben	2
bel	18
slv	18
deu	1
cat	15
ain	4
slk	29
tat	4
sah	7
jpn	7
myv	19
khk	24
lbe	9
spa	15
tam	38
ava	5
enf	2
eng	1
lit	7
liv	44
nio	3
kan	41
kal	17
sqi	6
bsk	12
lat	7
kaz	2
lav	7
niv	1
mal	38
ckt	46
mrj	33
