Huhn::N
itl	1
ron	5
oss	1
mns	1
ita	5
nld	7
mnc	6
vep	5
hrv	12
ady	15
hin	14
fin	5
eus	32
smj	22
ale	15
kca	1
dan	2
ces	1
dar	24
nor	2
pbu	15
cmn	6
hye	18
evn	20
mhr	6
bak	4
tel	9
mdf	30
olo	5
arb	13
sel	1
abk	1
sms	5
pes	14
smn	5
ddo	27
kmr	14
sme	22
sma	22
tur	4
kpv	1
rus	1
lez	25
ekk	5
ell	1
gld	6
gle	1
krl	5
isl	2
sjd	5
uzn	4
kat	33
por	5
pol	1
bre	31
koi	1
fra	28
yrk	1
che	1
swe	2
ukr	1
xal	4
heb	10
kor	17
chv	15
hun	4
bul	12
bua	3
cym	7
udm	1
azj	4
ben	14
bel	1
slv	12
deu	2
cat	5
ain	8
slk	19
tat	4
sah	1
jpn	8
myv	30
khk	3
lbe	5
spa	5
tam	12
ava	5
eng	6
lit	16
liv	5
kan	6
kal	12
sqi	28
bsk	29
lat	5
kaz	11
lav	16
niv	26
mal	5
ckt	34
mrj	4
