Juni::N
itl	1
ron	1
oss	1
mns	21
ita	1
nld	1
mnc	1
vep	9
hrv	1
ady	1
ess	1
hin	1
fin	9
eus	1
smj	9
ale	1
kca	15
dan	1
ces	6
dar	1
nor	1
pbu	1
cmn	1
hye	1
kpv	3
mhr	31
bak	1
tel	1
mdf	8
olo	9
arb	1
sel	28
ykg	24
abk	1
sms	9
pes	1
smn	9
ddo	1
kmr	18
sme	9
evn	20
sma	33
tur	18
rus	1
lez	1
ket	22
ekk	1
ell	1
gld	1
gle	29
krl	9
isl	1
sjd	1
uzn	1
por	1
pol	6
bre	6
koi	1
fra	1
yrk	12
che	1
swe	1
ukr	6
xal	14
chv	1
kor	10
heb	1
hun	1
bul	1
bua	33
cym	29
udm	4
azj	1
ben	1
bel	6
slv	1
deu	1
cat	1
ain	27
slk	1
tat	1
sah	7
jpn	16
myv	1
khk	25
lbe	1
spa	1
tam	1
ava	1
enf	17
eng	1
lit	30
liv	1
nio	26
kan	2
kal	1
sqi	23
kat	1
lat	1
kaz	32
lav	1
niv	11
mal	1
ckt	13
mrj	1
