Kamerad::N
itl	45
ron	39
oss	13
ale	12
ita	11
nld	11
mnc	59
ell	7
hrv	29
ady	52
nor	11
fin	39
eus	32
kmr	47
mns	6
kca	58
dan	11
ces	11
dar	19
hin	53
pbu	23
cmn	22
hye	46
kpv	6
mhr	22
bak	18
tel	42
mdf	8
olo	9
arb	13
sel	8
ykg	21
abk	49
sms	39
pes	40
smn	5
ddo	19
smj	44
sme	5
evn	3
sma	5
tur	44
rus	9
lez	55
ket	48
yux	21
ekk	41
vep	41
gld	57
gle	11
krl	39
isl	25
sjd	39
uzn	27
kat	50
por	11
pol	8
kaz	1
bre	11
koi	1
fra	11
yrk	6
che	15
swe	11
ukr	39
xal	38
heb	20
kor	1
chv	27
hun	39
bul	29
bua	51
cym	11
udm	1
azj	27
ben	14
bel	9
slv	39
deu	11
cat	34
ain	31
slk	11
tat	18
sah	1
jpn	1
myv	8
khk	51
lbe	24
spa	11
tam	37
ava	19
enf	36
eng	34
lit	29
liv	41
nio	41
kan	54
kal	43
sqi	14
bsk	6
lat	14
ess	43
lav	4
niv	56
mal	2
ckt	17
mrj	1
