Kampf::N
ron	7
oss	10
mns	27
ita	7
nld	31
mnc	25
ell	36
hrv	9
ady	48
nor	32
fin	34
eus	49
kmr	37
ale	58
kca	15
dan	32
ces	9
dar	45
hin	21
hye	57
pbu	18
cmn	29
kpv	4
evn	12
mhr	1
bak	1
tel	2
mdf	10
olo	10
arb	35
sel	10
ykg	56
abk	62
sms	10
pes	38
smn	10
ddo	62
smj	10
sme	41
sma	32
tur	22
rus	5
lez	26
ekk	40
vep	10
gld	12
gle	10
krl	10
isl	59
sjd	10
uzn	1
kat	5
por	24
pol	50
bre	8
koi	4
fra	7
yrk	10
che	53
swe	20
ukr	5
xal	60
heb	10
kor	29
chv	1
hun	2
bul	42
bua	34
cym	61
udm	43
azj	22
ben	21
bel	5
slv	5
deu	32
cat	7
ain	24
slk	9
tat	1
sah	28
jpn	23
myv	10
khk	34
lbe	52
spa	7
tam	2
ava	55
enf	44
eng	19
lit	24
liv	16
nio	10
kan	2
kal	51
sqi	7
bsk	26
lat	30
kaz	3
lav	54
mal	2
ckt	11
mrj	1
