Kiefer[Baum]::N
ron	3
oss	13
ale	2
ita	3
nld	20
mnc	4
ell	3
hrv	5
ady	18
hin	3
fin	10
eus	30
kmr	16
mns	16
kca	3
dan	27
ces	25
dar	4
nor	27
hye	7
pbu	16
cmn	15
kpv	26
evn	4
mhr	3
bak	1
tel	8
mdf	3
olo	10
arb	28
sel	2
abk	13
sms	3
pes	35
smn	3
ddo	7
smj	33
sme	3
sma	3
tur	2
rus	18
lez	12
ket	9
ekk	10
vep	3
gld	4
gle	3
krl	3
isl	27
sjd	3
uzn	1
por	3
pol	18
bre	3
koi	26
fra	3
yrk	9
che	22
swe	11
ukr	18
xal	12
heb	6
kor	18
chv	21
hun	32
bul	5
bua	14
cym	3
udm	26
azj	12
ben	3
bel	31
slv	5
deu	24
cat	3
slk	25
tat	14
sah	23
jpn	29
myv	3
khk	14
lbe	16
spa	3
tam	8
ava	17
enf	20
eng	3
lit	3
liv	3
nio	35
kan	8
sqi	3
kat	3
lat	3
kaz	1
lav	3
niv	19
mal	3
ckt	34
mrj	4
