Kiste::N
itl	2
ron	17
oss	2
mns	30
ita	3
nld	3
mnc	3
ell	21
hrv	1
ady	2
ess	18
hin	12
fin	3
eus	8
kmr	1
ale	2
kca	6
dan	3
ces	12
dar	16
nor	3
pbu	1
cmn	18
hye	30
evn	3
mhr	2
bak	2
tel	11
mdf	29
olo	2
arb	1
sel	17
ykg	2
abk	34
sms	8
pes	1
smn	24
smj	3
sme	3
sma	4
tur	1
kpv	2
rus	2
lez	2
ket	15
yux	25
ekk	3
vep	23
gld	18
gle	7
krl	9
isl	3
sjd	10
uzn	1
bsk	14
por	3
pol	26
bre	3
koi	2
fra	3
yrk	15
che	2
swe	9
ukr	2
xal	2
chv	1
kor	35
heb	29
hun	9
bul	17
bua	2
cym	7
udm	2
azj	1
ben	7
bel	26
slv	15
deu	3
cat	3
ain	32
slk	12
tat	33
sah	10
jpn	14
myv	1
khk	2
lbe	17
tam	11
spa	3
ava	2
enf	9
eng	7
lit	27
liv	3
nio	3
kan	11
kal	3
sqi	17
kat	17
lat	3
kaz	2
lav	13
niv	19
mal	11
ckt	28
mrj	1
