Knochen::N
itl	13
ron	2
oss	2
ale	12
ita	2
nld	9
mnc	23
vep	1
hrv	2
ady	29
hin	2
fin	1
eus	2
kmr	2
mns	1
kca	1
dan	9
ces	2
dar	16
nor	9
hye	4
pbu	31
cmn	33
evn	23
kpv	1
mhr	1
bak	10
tel	6
mdf	15
olo	1
arb	13
sel	1
ykg	26
abk	9
sms	5
pes	2
smn	5
ddo	18
smj	5
sme	5
sma	8
tur	6
rus	2
lez	25
ket	2
yux	26
ekk	1
ell	2
gld	23
gle	2
krl	1
isl	9
sjd	5
uzn	10
kat	20
por	2
pol	2
bre	4
koi	2
fra	2
yrk	1
che	19
swe	9
ukr	2
xal	2
heb	11
kor	30
chv	6
hun	7
bul	2
bua	2
cym	4
udm	1
azj	6
ben	2
bel	2
slv	2
deu	2
cat	2
ain	28
slk	2
tat	10
sah	27
jpn	28
myv	15
khk	2
lbe	5
tam	34
spa	4
ava	32
enf	1
eng	9
lit	17
liv	1
nio	1
kan	1
kal	14
sqi	2
bsk	24
lat	2
kaz	3
lav	17
niv	21
mal	2
ckt	2
mrj	1
