Kragen::N
itl	13
ron	6
oss	37
mns	44
ita	30
nld	9
mnc	34
ell	6
hrv	13
ady	38
nor	9
fin	9
eus	24
smj	25
ale	5
kca	1
dan	9
ces	34
dar	36
hin	18
pbu	6
cmn	34
hye	12
evn	19
ykg	24
mhr	19
bak	5
tel	14
mdf	4
olo	9
arb	5
sel	15
ess	26
abk	5
sms	1
pes	5
smn	1
ddo	23
kmr	3
sme	9
sma	33
tur	5
kpv	13
rus	13
lez	27
ket	11
yux	7
ekk	9
vep	9
gld	17
gle	13
krl	9
isl	9
sjd	6
uzn	5
por	6
pol	28
bre	9
koi	13
fra	6
yrk	5
che	23
swe	9
ukr	6
xal	19
heb	30
kor	40
chv	5
hun	6
bul	5
bua	19
cym	6
udm	4
azj	5
ben	6
bel	28
slv	13
deu	9
cat	6
ain	6
slk	6
tat	5
sah	19
jpn	8
myv	4
khk	19
lbe	42
spa	39
tam	21
ava	6
enf	35
eng	6
lit	10
liv	9
nio	45
kan	21
kal	16
sqi	5
kat	41
lat	6
kaz	5
lav	10
niv	29
mal	22
ckt	43
mrj	31
