Last::N
itl	41
ron	35
oss	12
ale	23
ita	5
nld	2
mnc	35
vep	1
hrv	9
nor	12
fin	3
eus	36
smj	30
mns	9
kca	9
dan	2
ces	31
dar	18
hin	12
pbu	12
cmn	16
hye	12
kpv	25
ykg	34
mhr	31
bak	17
tel	12
mdf	5
olo	7
arb	33
sel	24
ess	26
abk	29
sms	30
pes	35
smn	3
ddo	17
kmr	12
sme	3
evn	5
sma	21
tur	1
rus	13
lez	40
ekk	3
ell	16
gld	5
gle	17
krl	3
isl	12
sjd	30
uzn	1
bsk	10
por	5
pol	13
bre	5
koi	32
fra	16
yrk	11
che	17
swe	10
ukr	9
xal	3
chv	27
kor	15
heb	21
hun	9
bul	9
bua	38
cym	2
udm	25
azj	1
ben	10
bel	13
slv	9
deu	2
cat	5
ain	23
slk	7
tat	1
sah	5
jpn	31
myv	36
khk	35
lbe	37
tam	12
spa	5
ava	10
eng	2
lit	42
liv	10
nio	6
kan	23
kal	43
sqi	12
kat	9
lat	8
kaz	17
lav	44
mal	12
ckt	19
mrj	31
