Leder::N
ron	10
oss	13
ale	5
ita	10
nld	17
mnc	15
ell	10
hrv	9
ady	1
ess	1
hin	1
fin	6
eus	17
smj	28
mns	18
kca	22
dan	13
ces	9
dar	4
nor	17
pbu	3
cmn	23
hye	9
kpv	15
mhr	25
bak	13
tel	24
mdf	13
olo	6
arb	29
sel	11
ykg	18
abk	6
sms	14
pes	3
smn	27
ddo	4
kmr	3
sme	17
evn	1
sma	34
tur	13
rus	9
lez	16
ket	20
yux	7
ekk	6
vep	6
gld	2
gle	17
krl	6
isl	13
sjd	6
uzn	3
kat	19
por	15
pol	15
bre	17
koi	15
fra	15
yrk	4
che	6
swe	17
ukr	15
xal	15
chv	15
kor	15
heb	22
hun	17
bul	9
bua	18
cym	17
udm	15
azj	12
ben	1
bel	15
slv	28
deu	17
cat	15
ain	2
slk	9
tat	13
sah	12
jpn	9
myv	13
khk	15
lbe	26
tam	33
spa	15
ava	16
enf	4
eng	17
lit	14
liv	6
nio	4
kan	1
sqi	15
bsk	31
lat	15
kaz	13
lav	14
niv	32
mal	8
ckt	21
mrj	15
