Moor::N
itl	20
ron	39
oss	36
mns	11
ita	12
nld	25
mnc	35
vep	4
hrv	34
ady	34
hin	49
fin	41
eus	55
smj	43
kca	56
dan	30
ces	39
nor	34
pbu	1
cmn	8
hye	5
kpv	11
ykg	11
mhr	7
bak	13
tel	31
mdf	14
olo	4
arb	15
sel	8
ess	30
sms	52
pes	40
smn	52
ddo	30
kmr	10
sme	4
evn	23
sma	29
tur	17
rus	24
ket	16
ekk	1
ell	33
gld	37
gle	37
krl	41
isl	34
sjd	41
uzn	22
por	21
pol	39
bre	47
koi	11
fra	12
yrk	45
che	48
swe	30
ukr	24
xal	32
chv	9
kor	6
heb	42
hun	41
bul	34
bua	46
cym	44
udm	11
azj	40
ben	57
bel	24
slv	19
deu	34
cat	21
slk	34
tat	9
sah	19
jpn	50
myv	18
khk	53
spa	12
tam	3
enf	11
eng	30
lit	28
liv	4
nio	11
kan	54
sqi	21
kat	12
lat	33
kaz	4
lav	51
niv	26
mal	27
ckt	38
mrj	7
