Nabel::N
ron	13
oss	13
mns	4
ita	10
nld	1
mnc	12
ell	28
hrv	4
hin	1
fin	1
eus	9
kmr	1
ale	24
dan	1
ces	4
dar	13
nor	1
pbu	6
cmn	31
hye	27
kpv	14
mhr	7
bak	8
tel	30
mdf	4
olo	1
arb	21
abk	2
sms	1
pes	6
smn	1
ddo	23
smj	1
sme	1
sma	1
tur	13
rus	4
lez	22
yux	29
ekk	1
vep	1
gle	16
krl	1
isl	1
sjd	1
uzn	8
bsk	21
por	10
pol	4
bre	26
koi	14
fra	1
yrk	21
che	18
swe	1
ukr	4
xal	8
chv	15
kor	4
heb	25
hun	8
bul	4
bua	8
cym	26
udm	14
azj	13
ben	1
bel	4
slv	4
deu	1
cat	10
ain	12
slk	4
tat	8
sah	8
jpn	20
myv	4
khk	19
lbe	17
spa	10
tam	25
ava	18
eng	1
lit	11
liv	1
nio	8
kan	12
kal	24
sqi	3
kat	13
lat	10
kaz	8
lav	1
mal	1
ckt	8
mrj	7
