Platte::N
ron	2
oss	31
ale	9
ita	2
nld	2
mnc	7
ell	2
hrv	2
ady	22
nor	2
fin	10
eus	2
smj	23
mns	17
kca	21
dan	2
ces	3
dar	11
hin	2
pbu	13
cmn	16
hye	13
kpv	2
mhr	2
bak	2
tel	2
mdf	2
olo	2
arb	12
sel	19
abk	15
pes	12
smn	2
ddo	19
kmr	28
sme	23
evn	29
sma	2
tur	10
rus	2
ekk	2
vep	6
gle	2
krl	2
isl	26
sjd	17
uzn	13
por	2
pol	2
bre	2
koi	2
fra	2
yrk	2
che	4
swe	2
ukr	2
xal	1
heb	9
kor	25
chv	2
hun	30
bua	1
cym	9
udm	2
azj	10
ben	2
bel	2
slv	2
deu	2
cat	2
ain	2
slk	3
tat	2
sah	2
jpn	20
myv	2
khk	1
lbe	11
tam	2
spa	2
ava	11
enf	2
eng	14
lit	2
liv	2
nio	24
kan	2
kal	27
sqi	2
kat	8
lat	19
kaz	13
lav	2
mal	13
mrj	2
