Regenbogen::N
itl	4
ron	19
oss	64
mns	7
ita	45
nld	1
mnc	58
ell	42
hrv	15
ady	11
hin	59
fin	39
eus	12
smj	42
ale	21
kca	22
dan	1
ces	15
dar	71
nor	1
pbu	77
cmn	5
hye	31
kpv	63
ykg	70
mhr	3
bak	25
tel	59
mdf	13
olo	27
arb	46
sel	36
ess	61
abk	29
sms	68
pes	1
smn	18
ddo	72
kmr	37
sme	18
evn	44
sma	42
tur	65
rus	15
lez	20
ket	26
yux	56
ekk	54
vep	27
gld	14
gle	15
krl	39
isl	1
sjd	68
uzn	16
bsk	58
por	20
pol	32
bre	33
koi	62
fra	20
yrk	10
che	4
swe	1
ukr	15
xal	35
heb	73
kor	40
chv	43
hun	52
bul	15
bua	35
cym	24
udm	75
azj	65
ben	59
bel	53
slv	74
deu	1
cat	20
ain	47
slk	15
tat	43
sah	76
jpn	60
myv	41
khk	35
lbe	30
spa	20
tam	3
ava	67
enf	38
eng	1
lit	28
liv	69
nio	57
kan	17
kal	20
sqi	34
kat	29
lat	20
kaz	23
lav	50
niv	48
mal	74
ckt	6
mrj	3
