Schaufel::N
itl	21
ron	1
oss	13
ale	18
ita	5
nld	10
vep	1
hrv	1
ady	19
hin	35
fin	1
eus	5
kmr	26
mns	38
dan	9
ces	1
dar	28
nor	9
pbu	5
cmn	14
hye	33
kpv	1
mhr	11
bak	2
tel	5
mdf	4
olo	1
arb	39
sel	9
abk	25
sms	3
pes	5
smn	3
ddo	36
smj	3
sme	3
evn	3
sma	3
tur	2
rus	11
lez	23
ket	5
ekk	9
ell	22
gld	8
gle	30
krl	1
isl	9
sjd	3
uzn	2
kat	26
por	5
pol	1
bre	5
koi	24
fra	5
yrk	11
che	9
swe	9
ukr	11
xal	11
heb	34
kor	10
chv	2
hun	1
bul	1
bua	2
cym	15
udm	20
azj	2
ben	5
bel	1
slv	1
deu	9
cat	5
ain	5
slk	1
tat	2
sah	2
jpn	26
myv	2
khk	37
lbe	28
spa	5
tam	17
ava	6
enf	11
eng	9
lit	11
liv	5
nio	3
kan	27
kal	32
sqi	2
bsk	26
lat	5
kaz	29
lav	40
niv	2
mal	12
ckt	5
mrj	1
