Schlange[Tier]::N
ron	23
oss	26
ale	6
ita	23
nld	16
mnc	15
ell	4
hrv	8
ady	35
hin	23
fin	5
eus	2
smj	5
mns	24
kca	24
dan	16
ces	14
dar	33
nor	16
pbu	20
cmn	2
hye	31
kpv	8
ykg	30
mhr	29
bak	3
tel	12
mdf	8
olo	27
arb	37
sel	2
ess	15
abk	27
sms	9
pes	20
smn	9
ddo	32
kmr	20
sme	5
evn	3
sma	5
tur	3
rus	6
lez	3
ket	19
ekk	18
vep	27
gld	15
gle	1
krl	5
isl	1
sjd	9
uzn	3
bsk	38
por	23
pol	6
bre	1
koi	6
fra	23
yrk	24
che	10
swe	28
ukr	6
xal	20
heb	1
kor	12
chv	3
hun	13
bul	6
bua	15
cym	1
udm	8
azj	3
ben	23
bel	6
slv	13
deu	16
cat	23
ain	34
slk	14
tat	3
sah	23
jpn	14
myv	8
khk	15
lbe	2
spa	23
tam	12
ava	17
enf	6
eng	22
lit	9
liv	29
kan	14
kal	7
sqi	23
kat	9
lat	23
kaz	3
lav	29
niv	16
mal	12
ckt	3
mrj	29
