Schritt::N
itl	4
ron	4
oss	29
mns	7
ita	4
nld	13
mnc	22
ell	15
hrv	1
ady	2
hin	5
fin	7
eus	4
kmr	6
ale	5
kca	6
dan	13
ces	1
dar	1
nor	3
hye	25
pbu	6
cmn	4
evn	1
kpv	16
mhr	7
bak	5
tel	3
mdf	7
olo	7
arb	30
sel	18
ess	19
abk	23
sms	23
pes	5
smn	2
ddo	17
smj	2
sme	2
sma	7
tur	5
rus	11
lez	5
ket	26
ekk	6
vep	7
gld	1
gle	16
krl	7
isl	13
sjd	2
uzn	5
kat	27
por	4
pol	1
bre	4
koi	15
fra	4
yrk	20
che	14
swe	3
ukr	1
xal	6
chv	4
kor	4
heb	28
hun	9
bul	3
bua	10
cym	6
udm	15
azj	5
ben	4
bel	11
slv	1
deu	13
cat	4
ain	6
slk	1
tat	5
sah	13
jpn	12
myv	7
khk	10
lbe	11
tam	25
spa	4
ava	25
enf	4
eng	3
lit	21
liv	6
nio	4
kan	31
kal	24
sqi	12
bsk	5
lat	13
kaz	5
lav	7
mal	5
ckt	4
mrj	7
