See::N
itl	2
ron	10
oss	27
ale	20
ita	10
nld	1
mnc	21
ell	12
hrv	6
ady	9
hin	8
fin	1
eus	10
smj	1
mns	4
kca	4
dan	19
ces	6
dar	26
nor	19
pbu	2
cmn	10
hye	12
kpv	4
mhr	1
bak	2
tel	8
mdf	13
olo	1
arb	8
sel	4
ykg	14
abk	3
sms	26
pes	22
smn	1
ddo	30
kmr	2
sme	1
evn	21
sma	1
tur	2
rus	6
lez	18
ket	28
yux	14
ekk	1
vep	1
gld	21
gle	10
krl	1
isl	15
sjd	1
uzn	2
bsk	2
por	10
pol	6
kaz	2
bre	12
koi	4
fra	10
yrk	4
che	9
swe	19
ukr	6
xal	16
heb	5
kor	8
chv	2
hun	4
bul	6
bua	16
cym	12
udm	4
azj	2
ben	23
bel	6
slv	6
deu	19
cat	10
ain	4
slk	6
tat	2
sah	2
jpn	11
myv	13
khk	16
lbe	1
tam	1
spa	10
ava	7
enf	4
eng	10
lit	6
liv	1
nio	4
kan	8
kal	29
sqi	12
kat	4
lat	10
ess	24
lav	6
niv	4
mal	5
ckt	17
mrj	1
