Ski::N
ron	1
oss	4
mns	8
ita	1
nld	1
mnc	6
vep	1
hrv	1
ady	4
ess	4
hin	1
fin	1
eus	1
kmr	29
kca	24
dan	1
ces	4
dar	4
nor	1
pbu	1
cmn	16
hye	25
kpv	4
mhr	23
bak	17
tel	1
mdf	1
olo	1
arb	4
sel	14
ykg	27
abk	10
sms	9
pes	1
smn	7
ddo	4
smj	7
sme	7
evn	1
sma	28
tur	13
rus	4
ket	17
ekk	1
ell	1
gld	1
gle	1
krl	1
isl	1
sjd	9
uzn	17
por	1
pol	18
bre	1
koi	11
fra	1
yrk	11
che	9
swe	1
ukr	4
xal	4
chv	21
kor	1
heb	30
hun	1
bul	1
bua	6
cym	1
udm	9
azj	31
ben	1
bel	4
slv	1
deu	1
cat	1
slk	4
tat	17
sah	27
jpn	1
myv	1
khk	6
lbe	4
spa	1
tam	19
ava	4
enf	11
eng	1
lit	1
liv	15
nio	20
kan	5
kal	2
sqi	1
kat	26
lat	18
kaz	17
lav	11
niv	4
mal	12
ckt	22
mrj	23
