Sohn::N
itl	39
ron	32
oss	19
mns	2
ita	3
nld	1
mnc	15
vep	2
hrv	1
ady	29
nor	1
fin	2
eus	22
kmr	38
ale	40
kca	2
dan	1
ces	1
dar	35
hin	2
pbu	1
cmn	23
hye	26
kpv	2
mhr	12
bak	8
tel	16
mdf	28
olo	2
arb	1
sel	11
ess	12
abk	2
sms	6
pes	6
smn	4
ddo	15
smj	6
sme	6
evn	4
sma	6
tur	8
rus	1
lez	37
ket	12
yux	16
ekk	2
ell	17
gld	14
gle	5
krl	2
isl	1
sjd	4
uzn	8
bsk	2
por	3
pol	1
kaz	8
bre	7
koi	1
fra	3
yrk	13
che	9
swe	1
ukr	1
xal	27
heb	1
kor	8
chv	8
hun	3
bul	1
bua	31
cym	7
udm	2
azj	8
ben	4
bel	1
slv	1
deu	1
cat	3
ain	2
slk	1
tat	8
sah	8
jpn	21
myv	28
khk	12
lbe	10
spa	12
tam	5
ava	10
enf	34
eng	1
lit	1
liv	2
nio	13
kan	5
kal	33
sqi	6
kat	25
lat	3
ykg	16
lav	20
niv	36
mal	5
ckt	30
mrj	12
