Speise::N
ron	32
oss	4
ale	7
ita	12
nld	40
mnc	50
vep	30
hrv	22
ady	49
nor	23
fin	16
eus	35
kmr	24
mns	52
kca	38
dan	37
ces	22
dar	55
hin	31
pbu	24
cmn	45
hye	4
kpv	41
mhr	5
bak	10
tel	39
mdf	1
olo	30
arb	20
sel	12
abk	2
sms	48
pes	4
smn	15
ddo	13
smj	18
sme	18
evn	46
sma	18
tur	9
rus	13
lez	4
ket	17
ekk	16
ell	2
gle	15
krl	16
isl	23
sjd	25
uzn	21
bsk	51
por	12
pol	6
bre	15
koi	41
fra	12
yrk	47
che	4
swe	23
ukr	6
xal	34
heb	4
kor	8
chv	25
hun	3
bul	33
bua	27
cym	30
udm	41
azj	4
ben	29
bel	6
slv	22
deu	40
cat	12
ain	28
slk	22
tat	16
sah	53
jpn	4
myv	1
khk	3
lbe	51
spa	12
tam	36
ava	31
enf	54
eng	10
lit	19
liv	30
nio	43
kan	34
kal	44
sqi	34
kat	15
lat	42
kaz	21
lav	27
mal	10
ckt	14
mrj	11
