Spiegel::N
itl	31
ron	28
oss	12
ale	2
ita	1
nld	1
mnc	1
vep	3
hrv	3
ady	32
nor	1
fin	1
eus	25
smj	1
mns	45
kca	19
dan	1
ces	3
dar	13
hin	12
pbu	12
cmn	29
hye	42
evn	3
mhr	4
bak	9
tel	34
mdf	18
olo	3
arb	25
sel	3
ykg	40
abk	3
sms	33
pes	12
smn	1
ddo	11
kmr	12
sme	1
sma	37
tur	12
kpv	7
rus	3
lez	9
ket	21
ekk	1
ell	38
gld	5
gle	8
krl	1
isl	1
sjd	35
uzn	9
kat	3
por	1
pol	10
bre	44
koi	3
fra	25
yrk	41
che	9
swe	1
ukr	3
xal	20
chv	36
kor	9
heb	25
hun	36
bul	28
bua	27
cym	47
udm	14
azj	6
ben	12
bel	10
slv	28
deu	1
cat	25
slk	3
tat	9
sah	3
jpn	9
myv	22
khk	20
lbe	8
spa	1
tam	15
ava	15
enf	3
eng	25
lit	46
liv	1
nio	23
kan	15
kal	17
sqi	39
bsk	12
lat	1
kaz	12
lav	1
mal	15
ckt	26
mrj	36
