Staat::N
itl	7
ron	1
oss	9
mns	7
ita	1
nld	1
mnc	19
ell	13
hrv	14
ady	23
nor	1
fin	13
eus	1
kmr	5
kca	7
dan	1
ces	1
dar	2
hin	17
pbu	5
cmn	18
hye	27
kpv	19
mhr	8
bak	5
tel	3
mdf	7
olo	13
arb	5
sel	7
ess	7
abk	20
sms	15
pes	5
smn	1
ddo	2
smj	15
sme	1
evn	7
sma	1
tur	5
rus	7
lez	2
ket	7
ekk	15
vep	4
gle	1
krl	4
isl	28
sjd	24
uzn	5
kat	30
por	1
pol	25
bre	1
koi	7
fra	1
yrk	7
che	2
swe	1
ukr	14
xal	7
chv	2
kor	21
heb	31
hun	11
bul	14
bua	6
cym	29
udm	19
azj	5
ben	17
bel	14
slv	14
deu	1
cat	1
ain	26
slk	1
tat	5
sah	7
jpn	21
myv	7
khk	6
lbe	2
spa	1
tam	12
ava	2
eng	1
lit	13
liv	13
kan	3
sqi	1
bsk	1
lat	16
kaz	32
lav	13
mal	3
ckt	7
mrj	8
