Stab::N
ron	1
oss	5
ale	13
ita	1
nld	1
mnc	40
ell	37
hrv	1
ady	4
hin	5
fin	16
eus	30
smj	23
mns	34
kca	13
dan	1
ces	21
dar	5
nor	1
pbu	5
cmn	32
hye	12
kpv	9
mhr	8
bak	5
tel	12
mdf	5
olo	5
arb	6
sel	11
ykg	10
abk	18
sms	23
pes	17
smn	23
ddo	36
kmr	6
sme	23
evn	14
sma	5
tur	1
rus	15
lez	13
ket	5
yux	13
ekk	8
vep	16
gle	42
krl	16
isl	20
sjd	23
uzn	12
kat	27
por	1
pol	1
bre	1
koi	15
fra	1
yrk	2
che	19
swe	1
ukr	22
xal	3
heb	11
kor	25
chv	4
hun	1
bul	1
bua	11
cym	14
udm	1
azj	34
ben	1
bel	15
slv	22
deu	1
cat	1
ain	28
slk	22
tat	35
sah	3
jpn	1
myv	5
khk	35
lbe	33
tam	38
spa	8
ava	39
enf	2
eng	1
lit	29
liv	8
nio	2
kan	26
kal	31
sqi	1
bsk	24
lat	1
kaz	3
lav	41
mal	28
ckt	32
mrj	37
