Stamm::N
itl	14
ron	37
oss	25
ale	11
ita	5
nld	9
mnc	8
vep	16
hrv	3
ady	10
hin	21
fin	5
eus	19
smj	45
mns	41
kca	5
dan	9
ces	28
nor	9
hye	5
pbu	18
cmn	35
kpv	4
evn	20
ykg	14
mhr	43
bak	10
tel	32
mdf	5
olo	5
arb	52
sel	10
ess	15
abk	40
sms	5
pes	8
smn	5
kmr	23
sme	22
sma	9
tur	32
rus	3
lez	8
ket	14
yux	46
ekk	16
ell	38
gld	53
gle	8
krl	5
isl	9
sjd	22
uzn	12
kat	8
por	5
pol	36
bre	2
koi	2
fra	5
yrk	27
che	51
swe	9
ukr	3
xal	1
chv	3
kor	8
heb	47
hun	8
bul	3
bua	48
cym	2
udm	45
azj	32
ben	35
bel	3
slv	3
deu	9
cat	5
ain	39
slk	28
tat	10
sah	6
jpn	33
myv	5
khk	28
lbe	21
spa	5
tam	34
ava	49
enf	44
eng	5
lit	6
liv	16
nio	8
kan	27
kal	30
sqi	5
bsk	38
lat	5
kaz	50
lav	9
mal	24
ckt	20
mrj	42
