Stiefel::N
ron	1
oss	13
ale	4
ita	9
nld	17
mnc	4
ell	7
hrv	1
ady	1
nor	9
fin	3
eus	7
smj	9
mns	3
kca	3
dan	9
ces	21
dar	1
hin	7
pbu	10
cmn	23
hye	11
kpv	3
mhr	14
bak	6
tel	7
mdf	14
olo	3
arb	22
sel	3
ess	3
abk	5
sms	3
pes	1
smn	9
ddo	1
kmr	1
sme	3
evn	7
sma	9
tur	1
rus	3
lez	1
ket	8
yux	2
ekk	3
vep	3
gle	7
krl	3
isl	9
sjd	3
uzn	7
bsk	8
por	7
pol	7
bre	7
koi	3
fra	7
yrk	7
che	6
swe	9
ukr	7
xal	20
chv	7
kor	16
heb	5
hun	1
bul	7
bua	7
cym	7
udm	3
azj	1
ben	7
bel	7
slv	8
deu	9
cat	7
ain	14
slk	1
tat	6
sah	3
jpn	7
myv	14
khk	7
lbe	1
spa	7
tam	4
ava	6
enf	3
eng	7
lit	19
liv	3
nio	1
kan	7
kal	14
sqi	1
kat	1
lat	4
kaz	6
lav	3
mal	7
ckt	18
mrj	14
