Sünde::N
ron	1
oss	30
ale	24
ita	1
nld	2
mnc	12
vep	5
hrv	5
ady	8
nor	2
fin	2
eus	1
smj	6
mns	1
kca	21
dan	2
ces	5
dar	8
hin	8
pbu	8
cmn	10
hye	8
evn	27
mhr	13
bak	8
tel	4
mdf	1
olo	5
arb	5
sel	5
ykg	9
abk	8
sms	22
pes	31
smn	6
ddo	33
kmr	8
sme	6
sma	6
tur	8
kpv	34
rus	5
lez	8
ket	5
yux	28
ekk	1
ell	20
gle	1
krl	5
isl	2
uzn	8
bsk	11
por	1
pol	5
bre	1
koi	5
fra	1
yrk	5
che	32
swe	2
ukr	5
xal	18
chv	13
kor	16
heb	26
hun	8
bul	5
bua	18
cym	1
udm	13
azj	8
ben	4
bel	5
slv	5
deu	2
cat	1
ain	5
slk	5
tat	8
sah	14
jpn	10
myv	10
khk	18
lbe	8
spa	1
tam	4
ava	33
eng	2
lit	23
liv	1
nio	14
kan	4
kal	14
sqi	1
kat	17
lat	1
kaz	8
lav	5
mal	4
ckt	7
mrj	13
