Tanne::N
ron	7
oss	1
ale	13
ita	20
nld	5
mnc	4
ell	2
hrv	2
ady	2
hin	22
fin	14
eus	31
kmr	36
mns	29
kca	3
dan	25
ces	2
dar	2
nor	25
pbu	23
cmn	35
hye	15
kpv	1
mhr	1
bak	8
tel	6
mdf	1
olo	1
arb	8
sel	10
ykg	2
abk	34
sms	14
pes	37
smn	14
ddo	2
smj	14
sme	14
evn	18
sma	14
tur	13
rus	2
lez	2
ket	18
ekk	9
vep	1
gld	18
gle	8
krl	14
isl	25
sjd	1
uzn	13
kat	33
por	20
pol	2
bre	5
koi	1
fra	5
yrk	18
che	1
swe	25
ukr	2
xal	30
chv	8
kor	13
heb	8
hun	22
bul	2
bua	14
cym	24
udm	1
azj	12
ben	6
bel	2
slv	28
deu	32
cat	20
slk	2
tat	8
sah	28
jpn	17
myv	1
khk	16
lbe	37
spa	20
tam	21
ava	2
enf	1
eng	22
lit	25
liv	1
nio	1
kan	6
kal	11
sqi	7
bsk	14
lat	20
kaz	8
lav	2
niv	26
mal	6
ckt	19
mrj	1
