Träne::N
itl	20
ron	3
oss	31
mns	12
ita	3
nld	34
mnc	26
vep	4
hrv	21
ady	27
hin	36
fin	4
eus	17
smj	4
ale	45
kca	11
dan	8
ces	21
dar	43
nor	8
pbu	15
cmn	18
hye	42
kpv	7
mhr	7
bak	39
tel	33
mdf	12
olo	4
arb	1
sel	19
ykg	30
abk	37
sms	4
pes	15
smn	4
ddo	17
kmr	28
sme	4
evn	25
sma	4
tur	13
rus	21
lez	41
ket	13
ekk	9
ell	3
gld	25
gle	8
krl	4
isl	8
sjd	4
uzn	13
kat	10
por	3
pol	40
kaz	36
bre	8
koi	7
fra	3
yrk	4
che	44
swe	8
ukr	21
xal	14
heb	1
kor	16
chv	32
hun	4
bul	21
bua	23
cym	3
udm	4
azj	13
ben	36
bel	21
slv	21
deu	34
cat	3
ain	27
slk	21
tat	13
sah	35
jpn	25
myv	12
khk	14
lbe	17
spa	3
tam	29
ava	17
enf	22
eng	8
lit	24
liv	4
nio	4
kan	29
kal	2
sqi	38
bsk	27
lat	3
ess	29
lav	24
niv	9
mal	29
ckt	5
mrj	21
