Tür::N
itl	7
ron	5
oss	1
ale	26
ita	8
nld	1
mnc	7
ell	8
hrv	11
ady	21
hin	1
fin	13
eus	22
kmr	1
mns	13
kca	13
dan	1
ces	1
dar	10
nor	1
hye	1
pbu	1
cmn	2
evn	5
kpv	9
mhr	5
bak	15
tel	1
mdf	16
olo	5
arb	20
sel	17
ykg	19
abk	15
sms	5
pes	1
smn	5
ddo	9
smj	5
sme	5
sma	5
tur	14
rus	1
lez	1
ket	31
yux	19
ekk	5
vep	5
gld	5
gle	1
krl	13
isl	18
sjd	5
uzn	15
kat	21
por	8
pol	1
kaz	15
bre	1
koi	9
fra	8
yrk	24
che	25
swe	1
ukr	1
xal	3
chv	12
kor	2
heb	12
hun	1
bul	11
bua	3
cym	1
udm	5
azj	14
ben	1
bel	1
slv	11
deu	1
cat	8
ain	27
slk	1
tat	15
sah	2
jpn	1
myv	16
khk	30
lbe	10
tam	29
spa	8
ava	7
enf	24
eng	1
lit	1
liv	5
nio	6
kan	32
kal	17
sqi	1
bsk	18
lat	7
ess	26
lav	1
niv	1
mal	4
ckt	28
mrj	5
